,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
186,186,True,Regression,TIKA-2019,tika-parsers,7ae760e29ad3ed5874f7f50c27c6f850ab1d8025,d6981ad81334eb20174004d7c0d96acd9f1d2f12,org.apache.tika.parser.microsoft.xml.XML2003ParserTest#testBasicWord,True,,1.13,1.13
187,187,True,Regression,TIKA-2019,tika-parsers,7ae760e29ad3ed5874f7f50c27c6f850ab1d8025,d6981ad81334eb20174004d7c0d96acd9f1d2f12,org.apache.tika.parser.microsoft.xml.XML2003ParserTest#testBasicExcel,True,,1.13,1.13
188,188,True,Delta,TIKA-2025,tika-parsers,a383567c2c947603c4c7aa12d3578d771bb58413,952fb54ed78a2fba07db4653cc674f5641211031,org.apache.tika.parser.microsoft.ExcelParserTest#testBigIntegersWGeneralFormat,True,,1.13,1.13
189,189,True,Delta,TIKA-2025,tika-parsers,a383567c2c947603c4c7aa12d3578d771bb58413,952fb54ed78a2fba07db4653cc674f5641211031,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testBigIntegersWGeneralFormat,True,,1.13,1.13
190,190,True,Delta,TIKA-2026,tika-parsers,7cc610e1b3f164fe9de00b1a35e60fd00a69bb46,69d825005fccb94b7ee453fab002eb6e6c734dbc,org.apache.tika.parser.microsoft.PowerPointParserTest#testEmbeddedPDF,True,,1.13,1.13
191,191,True,Delta,TIKA-2026,tika-parsers,7cc610e1b3f164fe9de00b1a35e60fd00a69bb46,69d825005fccb94b7ee453fab002eb6e6c734dbc,org.apache.tika.parser.microsoft.ExcelParserTest#testEmbeddedPDF,True,,1.13,1.13
192,192,True,Delta,TIKA-2026,tika-parsers,7cc610e1b3f164fe9de00b1a35e60fd00a69bb46,69d825005fccb94b7ee453fab002eb6e6c734dbc,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testEmbeddedPDFInPPTX,True,,1.13,1.13
193,193,True,Delta,TIKA-2026,tika-parsers,7cc610e1b3f164fe9de00b1a35e60fd00a69bb46,69d825005fccb94b7ee453fab002eb6e6c734dbc,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testEmbeddedPDFInXLSX,True,,1.13,1.13
194,194,True,Delta,TIKA-2040,tika-parsers,71cb9363c07839e68712edde4626d53aa928cc2a,f5b04b60c472062ab46a0a19eb75d3a39e80fc76,org.apache.tika.parser.chm.TestChmExtractor#testOOMOnCorruptCHM,True,,1.13,1.13
195,195,True,Regression,TIKA-2042,tika-parsers,72d2d88b381ba75942ae791042ef54af33ee1f38,f00ab040dd4e046de9c425b2d748c8de306f210b,org.apache.tika.mime.TestMimeTypes#testEmail,True,,1.13,1.13
196,196,True,Regression,TIKA-2047,tika-parsers,415381212291e843e9091f43f6db8c432eb02aa9,cc6f6dcc8fed2826ae8093b7a4aed0ddee74dc40,org.apache.tika.parser.txt.TXTParserTest#testUsingCharsetInContentTypeHeader,True,,1.13,1.13
