class,mean time- totalEffortInSeconds
org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,53.6
org.apache.commons.math3.geometry.spherical.oned.LimitAngle,47.8
org.apache.commons.math3.linear.Array2DRowFieldMatrix,187.75
org.apache.commons.math3.optim.linear.LinearConstraintSet,40.2
org.apache.commons.math3.geometry.euclidean.threed.FieldRotation,202.5
org.apache.commons.math3.linear.FieldLUDecomposition,125
org.apache.commons.math3.geometry.partitioning.Characterization,69
org.apache.commons.math3.ode.nonstiff.HighamHall54Integrator,53.6
org.apache.commons.math3.optimization.general.NonLinearConjugateGradientOptimizer,75.8
org.apache.commons.math3.ode.nonstiff.RungeKuttaIntegrator,125.3333333333
org.apache.commons.math3.util.ResizableDoubleArray,181.4
org.apache.commons.math3.distribution.FDistribution,67.6
org.apache.commons.math3.fitting.leastsquares.DenseWeightedEvaluation,35.4
org.apache.commons.math3.optimization.general.GaussNewtonOptimizer,64.4
org.apache.commons.math3.exception.NotANumberException,35.6
org.apache.commons.math3.linear.BlockFieldMatrix,376.2
org.apache.commons.math3.special.Gamma,226.5
org.apache.commons.math3.stat.descriptive.moment.FourthMoment,42
org.apache.commons.math3.analysis.polynomials.PolynomialFunction,139.8
org.apache.commons.math3.analysis.function.Multiply,6.6
org.apache.commons.math3.optim.AbstractOptimizationProblem,36.2
org.apache.commons.math3.optimization.MultivariateMultiStartOptimizer,9.8
org.apache.commons.math3.filter.DefaultMeasurementModel,10
org.apache.commons.math3.util.Pair,62.8
org.apache.commons.math3.analysis.function.Rint,6.8
org.apache.commons.math3.analysis.function.StepFunction,33
org.apache.commons.math3.util.Precision,236
org.apache.commons.math3.ml.clustering.CentroidCluster,11.6
org.apache.commons.math3.analysis.function.Exp,38.6
org.apache.commons.math3.random.RandomDataImpl,49
org.apache.commons.math3.distribution.LevyDistribution,64
org.apache.commons.math3.stat.descriptive.moment.VectorialCovariance,88.4
org.apache.commons.math3.linear.ArrayRealVector,309
org.apache.commons.math3.ode.nonstiff.LutherIntegrator,11.6
org.apache.commons.math3.transform.FastHadamardTransformer,72
org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,47.2
org.apache.commons.math3.random.StableRandomGenerator,72.8
org.apache.commons.math3.analysis.function.Logit,68.4
org.apache.commons.math3.distribution.WeibullDistribution,80
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegrator,101.8
org.apache.commons.math3.analysis.interpolation.AkimaSplineInterpolator,72.2
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,77.4
org.apache.commons.math3.genetics.TournamentSelection,43.8
org.apache.commons.math3.linear.EigenDecomposition,279.4
org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaIntegrator,11.6
org.apache.commons.math3.linear.SparseRealVector,36.2
org.apache.commons.math3.geometry.spherical.oned.S1Point,54.2
org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver,51
org.apache.commons.math3.analysis.function.Acosh,37.6
org.apache.commons.math3.analysis.function.Inverse,36.2
org.apache.commons.math3.distribution.EnumeratedRealDistribution,95.6
org.apache.commons.math3.optimization.general.AbstractScalarDifferentiableOptimizer,34.8
org.apache.commons.math3.ode.JacobianMatrices,94.4
org.apache.commons.math3.random.BitsStreamGenerator,74
org.apache.commons.math3.stat.interval.AgrestiCoullInterval,37.2
org.apache.commons.math3.geometry.spherical.twod.SubCircle,54.6
org.apache.commons.math3.optimization.linear.LinearConstraint,68.5
org.apache.commons.math3.special.Beta,198
org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,0
org.apache.commons.math3.geometry.spherical.twod.Circle,52.6
org.apache.commons.math3.optimization.linear.Relationship,42.8
org.apache.commons.math3.exception.TooManyIterationsException,10.2
org.apache.commons.math3.optim.univariate.BrentOptimizer,120
org.apache.commons.math3.ode.FirstOrderConverter,36.4
org.apache.commons.math3.optimization.BaseMultivariateVectorMultiStartOptimizer,57.6
org.apache.commons.math3.geometry.euclidean.threed.Rotation,221.2
org.apache.commons.math3.fraction.BigFractionFormat,72.8
org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,0
org.apache.commons.math3.linear.DiagonalMatrix,117.6
org.apache.commons.math3.exception.NoBracketingException,36.2
org.apache.commons.math3.linear.RealVectorFormat,87
org.apache.commons.math3.analysis.function.Add,7
org.apache.commons.math3.optimization.univariate.SimpleUnivariateValueChecker,50
org.apache.commons.math3.linear.SingularValueDecomposition,334
org.apache.commons.math3.exception.util.ArgUtils,48.5
org.apache.commons.math3.ml.clustering.FuzzyKMeansClusterer,118.4
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,155.6
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,69
org.apache.commons.math3.special.Erf,82.4
org.apache.commons.math3.optim.nonlinear.scalar.GradientMultivariateOptimizer,46.6
org.apache.commons.math3.ml.neuralnet.oned.NeuronString,82.4
org.apache.commons.math3.analysis.interpolation.LinearInterpolator,48.25
org.apache.commons.math3.analysis.interpolation.LoessInterpolator,106
org.apache.commons.math3.exception.ConvergenceException,35.8
org.apache.commons.math3.optimization.AbstractConvergenceChecker,36.8
org.apache.commons.math3.distribution.SaddlePointExpansion,65.2
org.apache.commons.math3.stat.correlation.StorelessCovariance,96
org.apache.commons.math3.stat.StatUtils,90.2
org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizer,42.2
org.apache.commons.math3.optimization.MultivariateDifferentiableVectorMultiStartOptimizer,14.4
org.apache.commons.math3.optimization.Target,35.4
org.apache.commons.math3.analysis.interpolation.TricubicInterpolator,64.8
org.apache.commons.math3.linear.NonSelfAdjointOperatorException,35.6
org.apache.commons.math3.geometry.spherical.oned.ArcsSet,262.4
org.apache.commons.math3.geometry.euclidean.twod.Vector2D,104
org.apache.commons.math3.stat.descriptive.moment.FirstMoment,42.6
org.apache.commons.math3.optim.univariate.UnivariateOptimizer,49.4
org.apache.commons.math3.exception.MathIllegalStateException,36.4
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,76.4
org.apache.commons.math3.optim.BaseOptimizer,45.8
org.apache.commons.math3.stat.inference.WilcoxonSignedRankTest,109.75
org.apache.commons.math3.fitting.GaussianFitter,46.4
org.apache.commons.math3.analysis.interpolation.TricubicInterpolatingFunction,160.8
org.apache.commons.math3.complex.Quaternion,97.6
org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,104.4
org.apache.commons.math3.stat.descriptive.AggregateSummaryStatistics,79.4
org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,47
org.apache.commons.math3.exception.MathParseException,10.2
org.apache.commons.math3.random.GaussianRandomGenerator,10.4
org.apache.commons.math3.random.RandomDataGenerator,172.2
org.apache.commons.math3.analysis.function.Abs,34.2
org.apache.commons.math3.stat.descriptive.rank.Percentile,133
org.apache.commons.math3.distribution.ConstantRealDistribution,55.2
org.apache.commons.math3.stat.descriptive.DescriptiveStatistics,81.2
org.apache.commons.math3.stat.correlation.StorelessBivariateCovariance,47.4
org.apache.commons.math3.geometry.euclidean.threed.RotationOrder,35.6
org.apache.commons.math3.ml.neuralnet.sofm.KohonenUpdateAction,56.8
org.apache.commons.math3.analysis.interpolation.TricubicSplineFunction,70.4
org.apache.commons.math3.geometry.euclidean.threed.NotARotationMatrixException,9.2
org.apache.commons.math3.distribution.GumbelDistribution,66.8
org.apache.commons.math3.analysis.interpolation.BicubicInterpolatingFunction,117
org.apache.commons.math3.stat.correlation.Covariance,82.6666666667
org.apache.commons.math3.distribution.MixtureMultivariateRealDistribution,72
org.apache.commons.math3.primes.SmallPrimes,109.6
org.apache.commons.math3.analysis.interpolation.PiecewiseBicubicSplineInterpolatingFunction,103.6
org.apache.commons.math3.stat.descriptive.rank.Median,35.6
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,157.4
org.apache.commons.math3.random.EmpiricalDistribution,154.75
org.apache.commons.math3.distribution.NakagamiDistribution,57
org.apache.commons.math3.util.TransformerMap,73.75
org.apache.commons.math3.optimization.fitting.GaussianFitter,45.6
org.apache.commons.math3.geometry.euclidean.threed.Plane,83
org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,42.6
org.apache.commons.math3.analysis.solvers.AbstractUnivariateSolver,8.6
org.apache.commons.math3.geometry.euclidean.twod.hull.AklToussaintHeuristic,103
org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaStepInterpolator,53.8
org.apache.commons.math3.dfp.DfpDec,169.75
org.apache.commons.math3.geometry.spherical.twod.SphericalPolygonsSet,190.4
org.apache.commons.math3.optim.univariate.SearchInterval,24.4
org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer,278.8
org.apache.commons.math3.optimization.linear.NoFeasibleSolutionException,35
org.apache.commons.math3.fitting.HarmonicFitter,43.6
org.apache.commons.math3.linear.SchurTransformer,199.6666666667
org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer,74.6
org.apache.commons.math3.dfp.Dfp,1024
org.apache.commons.math3.optimization.linear.SimplexSolver,92.4
org.apache.commons.math3.linear.NonSquareOperatorException,9
org.apache.commons.math3.filter.KalmanFilter,78.6
org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction,72.6
org.apache.commons.math3.exception.MathIllegalNumberException,36.8
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer,1.4
org.apache.commons.math3.stat.inference.TTest,81.4
org.apache.commons.math3.exception.MaxCountExceededException,36.4
org.apache.commons.math3.stat.correlation.PearsonsCorrelation,107
org.apache.commons.math3.ode.nonstiff.AdamsIntegrator,43.8
org.apache.commons.math3.ml.clustering.Cluster,34.6
org.apache.commons.math3.analysis.integration.RombergIntegrator,56.4
org.apache.commons.math3.util.FastMathLiteralArrays,36.6
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,42.6
org.apache.commons.math3.genetics.FixedGenerationCount,44.2
org.apache.commons.math3.optimization.general.AbstractDifferentiableOptimizer,34.8
org.apache.commons.math3.analysis.function.Tan,38
org.apache.commons.math3.linear.SparseFieldVector,251.25
org.apache.commons.math3.ode.AbstractIntegrator,159.75
org.apache.commons.math3.ode.nonstiff.AdamsNordsieckTransformer,80.6
org.apache.commons.math3.stat.descriptive.moment.GeometricMean,51.8
org.apache.commons.math3.analysis.function.Constant,36
org.apache.commons.math3.ode.ParameterizedWrapper,39.8
org.apache.commons.math3.stat.descriptive.SynchronizedMultivariateSummaryStatistics,51.2
